系统名称,资源类型,分类,域名,公网地址,内网地址,连接串,负责人,环境标识,备注,备忘录内容,拨测监控,拨测状态码,拨测超时,探测间隔,拨测方法,拨测请求头,拨测Body,跟随重定向,跳过证书校验,私有CA路径
QMS-INTF,网站,业务系统,https://qms-intf.hmglog.com,,http://172.16.16.181:3080 ,,,生产环境,,,是,404,5s,30s,GET,,,,,
QMS系统,网站,业务系统,https://qms.hmglog.com/QMS/login,,http://172.16.16.181:3060 ,,,生产环境,,111,是,200,5s,30s,GET,,,,,
rightmanager-backend权限服务-api接口,网站,业务系统,https://rightmanager-be.hmglog.com/info,http://139.224.247.172:32110,http://172.16.16.181:4100 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
rightmanager-ui,网站,业务系统,https://rightmanager.hmglog.com,,http://172.16.16.181:4101 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
SCOS系统,网站,业务系统,https://scos.hmglog.com/CAS/login?locale=zh_CN,http://47.100.200.114:3040,http://172.16.16.181:3040 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
snail-job,网站,业务系统,,http://139.224.247.172:32231,http://172.16.16.181:32231,,,生产环境,,,是,200,5s,30s,GET,,,,,
snail-job,网站,业务系统,,http://139.224.247.172:32230,http://172.16.16.181:32230,,,生产环境,,,是,404,5s,30s,GET,,,,,
SSCD系统,网站,业务系统,https://sscd.hmglog.com,,http://172.16.16.181:4180 ,,,生产环境,https://aptranscenter.hmglog.com,,否,200,5s,30s,GET,,,,,
STS_2_系统-api接口,网站,业务系统,https://sts.hmglog.com/prod-api/sts2-admin/info,http://47.100.200.114:2240,http://172.16.16.181:2240 ,,,生产环境,,,是,401,5s,30s,GET,,,,,
STS2-backend,网站,业务系统,,http://47.100.200.114:2230,http://172.16.16.181:2230 ,,,生产环境,,,是,404,5s,30s,GET,,,,,
thermometer-backend,网站,业务系统,,http://139.224.247.172:4060,http://172.16.16.181:4060 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
thermometer-温湿度计后台管理系统,网站,业务系统,https://thermometer.hmglog.com,http://47.100.200.114:4061,http://172.16.16.181:4061 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
TMS系统,网站,业务系统,https://etms.hmglog.com/frame/login,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
toolservice,网站,业务系统,,http://139.224.247.172:32140,http://172.16.16.181:32140,,,生产环境,,,是,302,5s,30s,GET,,,,,
toolservice-ui,网站,业务系统,,http://139.224.247.172:32141,http://172.16.16.181:32141,,,生产环境,,,是,200,5s,30s,GET,,,,,
warehouse临港仓库,网站,业务系统,https://lgs.hmglog.com,http://139.224.247.172:32031 ,http://172.16.16.181:32031 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
WMS-CRON,网站,业务系统,,http://47.101.211.98:8780/nwms,,,,生产环境,,,是,302,5s,30s,GET,,,,,
WMS系统,网站,业务系统,https://wms.hmglog.com/nwms,http://47.101.157.71:8780/nwms,http://172.16.16.84:8780,,,生产环境,,,是,302,5s,30s,GET,,,,,
